id_alimento,nombre,calorias_100g,proteinas_100g,carbohidratos_100g,grasas_100g,imagen
1,Leche semidesnatada (2%),50.0,3.35,4.91,1.9,leche.jpg
2,"Tomates cherry, crudos",27.0,0.83,5.51,0.63,tomate.png
3,Brócoli crudo,32.0,2.57,6.29,0.34,brocoli.jpg
4,Leche desnatada (1%),43.0,3.38,5.19,0.95,leche.jpg
5,Leche desnatada (0%),34.0,3.43,4.89,0.08,leche.jpg
6,Leche entera,60.0,3.28,4.67,3.2,leche.jpg
7,Salchicha de ternera,314.0,11.7,2.89,28.0,salchicha.jpg
8,Almendras tostadas,620.0,20.4,16.2,57.8,almendras.jpg
9,Queso ricotta,157.0,7.81,6.86,11.0,queso_ricotta.jpg
10,Salchicha de ternera precocinada,328.0,13.3,3.37,28.7,salchicha.jpg
11,Queso parmesano rallado,421.0,29.6,12.4,28.0,queso_parmesano.jpg
12,Queso americano en lonchas,366.0,18.0,5.27,30.6,queso_lonchas.png
13,Salchicha italiana de cerdo,322.0,18.2,2.15,26.2,salchicha_italiana.jpg
14,Pan blanco,270.0,9.43,49.2,3.59,pan_blanco.jpg
15,Salchicha de pavo,169.0,16.7,0.93,10.4,salchicha_pavo.jpg
16,Queso suizo,393.0,27.0,1.44,31.0,queso_suizo.jpg
17,Naranjas crudas,47.0,0.91,11.8,0.15,naranja.jpg
18,Fresas crudas,31.0,0.64,7.63,0.22,fresas.jpg
19,Lechuga romana cruda,17.0,1.24,3.24,0.26,lechuga.jpg
20,Queso cheddar,408.0,23.3,2.44,34.0,queso_cheddar.png
21,Queso cottage bajo en grasa,84.0,11.0,4.31,2.3,queso_cottage.jpg
22,Queso mozzarella,298.0,23.7,4.44,20.4,queso_mozzarella.jpg
23,Queso fresco seco,326.0,24.5,2.07,24.3,queso_fresco.png
24,Yogur griego natural desnatado,61.0,10.3,3.64,0.37,yogur_griego.jpg
25,Yogur griego de fresa desnatado,83.0,8.06,12.2,0.15,yogur_fresa.png
26,Pavo picado (93% magro),220.0,27.1,0.0,11.6,pavo_picado.jpg
27,Muslo de pollo cocinado,156.0,23.9,0.0,5.95,pollo_muslo.jpg
28,Pechuga de pollo cocinada,166.0,32.1,0.0,3.24,pechuga_pollo.jpg
29,Salsa marinara para pasta,45.0,1.41,8.05,1.48,salsa_tomate.jpg
30,Chorizo de cerdo,346.0,19.3,2.63,28.1,chorizo.png
31,Galletas de avena con pasas,430.0,5.79,69.6,14.3,galletas_avena.png
32,Cerdo agridulce,260.0,8.88,25.5,13.6,cerdo_agridulce.jpg
33,Arroz frito chino sin carne,174.0,3.84,32.5,3.19,arroz_frito.png
34,Tamal de cerdo,174.0,7.38,15.8,9.04,tamal.jpg
35,Pupusas con alubias,229.0,5.59,31.5,9.01,pupusas.jpg
36,Lomo de ternera crudo,155.0,22.8,0.0,6.39,ternera_lomo.jpg
37,Solomillo de ternera asado,176.0,27.7,0.0,6.36,ternera_solomillo.jpg
38,Redondo de ternera crudo,122.0,23.4,0.0,2.48,ternera_redondo.jpg
39,Tapa de ternera cruda,123.0,23.7,0.0,2.41,ternera_tapa.jpg
40,Chuletón T-bone a la plancha,219.0,27.3,0.0,11.4,chuleton.jpg
41,Porterhouse steak de ternera,145.0,22.7,0.0,5.32,ternera_porterhouse.jpg
42,Pan integral,254.0,12.3,43.1,3.55,pan_integral.jpg
43,Queso americano,375.0,17.5,6.35,31.1,queso_americano.png
44,Clara de huevo,55.0,10.7,2.36,0.0,huevo_clara.png
45,Yema de huevo,334.0,16.2,1.02,28.8,huevo_yema.jpg
46,Huevo entero,148.0,12.4,0.96,9.96,huevo.jpg
47,Bacon de cerdo cocinado,500.0,40.9,2.1,36.5,bacon.jpg
48,Harina de trigo panadera,363.0,14.3,72.8,1.65,harina_trigo.jpg
49,Harina de arroz blanco,359.0,6.94,79.8,1.3,harina_arroz.jpg
50,Plátano maduro,85.0,0.73,20.1,0.22,platano.jpg
51,Plátano en su punto,97.0,0.74,23.0,0.29,platano.jpg
52,Harina de arroz integral,365.25,7.19,75.5,3.85,harina_arroz.jpg
53,Harina de arroz glutinoso,358.0,6.69,80.1,1.16,harina_arroz.jpg
54,Manzana roja con piel,62.0,0.19,14.8,0.21,manzana.jpg
55,Manzana honeycrisp con piel,60.0,0.1,14.7,0.1,manzana.jpg
56,Manzana verde con piel,59.0,0.27,14.2,0.14,manzana_verde.jpg
57,Manzana gala con piel,61.0,0.13,14.8,0.15,manzana.jpg
58,Manzana fuji con piel,65.0,0.15,15.7,0.16,manzana.jpg
